               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079807,            0.019046,            0.012655,             0.65886,             0.14341,             0.13934,            0.038955,             0.05163,            0.012961,           0.0020989,           0.0033305,           0.0033305,            0.070025
                   1,            0.064516,            0.015909,           0.0044782,             0.22265,             0.32801,             0.19991,            0.063809,            0.048487,            0.011905,            0.001863,           0.0065983,           0.0065983,             0.03996
                   2,            0.063386,            0.015834,           0.0044781,              0.2172,             0.27648,             0.16223,            0.048599,            0.051557,            0.012714,           0.0017992,           0.0096083,           0.0096083,           0.0096363
                   3,            0.062925,            0.015951,           0.0042263,             0.27125,             0.27382,             0.19416,            0.059964,            0.050541,            0.011886,           0.0012602,           0.0091406,           0.0091406,           0.0091406
                   4,            0.060651,            0.015813,           0.0039616,             0.34091,             0.31361,             0.25587,            0.082829,            0.047135,             0.01161,            0.001124,           0.0091406,           0.0091406,           0.0091406
                   5,            0.057993,            0.015558,           0.0032609,             0.36655,              0.3501,             0.29716,             0.10072,            0.044456,            0.011005,           0.0010212,           0.0085111,           0.0085111,           0.0085111
                   6,            0.056136,            0.015061,           0.0031704,              0.4697,              0.3857,              0.3683,              0.1305,            0.042902,            0.010924,          0.00096383,             0.00775,             0.00775,             0.00775
                   7,            0.054292,            0.014717,           0.0029336,             0.48151,             0.43373,             0.41149,              0.1577,            0.040424,            0.010474,          0.00082548,           0.0068906,           0.0068906,           0.0068906
                   8,            0.053166,            0.014892,           0.0027886,             0.51193,             0.43471,             0.44172,             0.17431,            0.040021,            0.010427,          0.00079502,           0.0059704,           0.0059704,           0.0059704
                   9,            0.051617,            0.014617,           0.0026707,             0.54951,             0.42616,             0.45883,              0.1792,            0.038714,            0.010269,          0.00070075,           0.0050296,           0.0050296,           0.0050296
                  10,            0.050744,            0.014211,           0.0026463,               0.544,             0.47366,             0.49504,             0.20179,            0.037751,            0.010031,          0.00073489,           0.0041094,           0.0041094,           0.0041094
                  11,            0.049359,            0.014237,           0.0024262,             0.56535,             0.51002,             0.52893,              0.2243,            0.036567,           0.0099318,          0.00063347,             0.00325,             0.00325,             0.00325
                  12,            0.048397,            0.014038,           0.0020093,             0.59639,             0.49679,             0.54127,             0.23536,            0.035518,            0.009864,          0.00056264,           0.0024889,           0.0024889,           0.0024889
                  13,            0.047224,            0.013876,           0.0020582,             0.57047,             0.54324,             0.56016,             0.24287,            0.034896,           0.0097662,          0.00048952,           0.0018594,           0.0018594,           0.0018594
                  14,            0.046801,            0.013828,           0.0018467,             0.57072,             0.55705,             0.57032,             0.25053,            0.034175,           0.0096526,          0.00045697,            0.001389,            0.001389,            0.001389
